nome;preco;descricao
Lagunitas Cerveja IPA;R$ 13,89;1 X 355 mL
Lagunitas Cerveja IPA;R$ 8,99;1 X 350 mL
Blue Moon Cerveja;R$ 8,99;1 X 350 mL
Sol Cerveja Premium Long Neck;R$ 5,39;1 X 330 mL
Cerveja De Trigo Hoegaarden 330 Ml Long Neck;R$ 7,99;1 X 330 mL
Cerveja Goose Island Midway, 355Ml, Long Neck;R$ 8,99;1 X 355 mL
Blue Moon Cerveja Belgian White;R$ 13,89;1 X 355 mL
Budweiser Cerveja Zero Álcool Long Neck;R$ 5,19;1 X 330 mL
Patagonia Cerveja Weisse;R$ 6,79;1 X 355 mL
Cerveja Patagonia Weisse, 740Ml, Garrafa;R$ 13,99;1 X 740 mL
Goose Island Cerveja Ipa;R$ 9,99;1 X 355 mL
Tiger Cerveja Puro Malte;R$ 3,39;1 X 350 mL
Paulaner Cerveja Hefe-Weissbier Naturtrub;R$ 25,49;1 X 500.0 mL
Cerveja Spaten, Puro Malte, 600Ml, Garrafa;R$ 9,49;1 X 600 mL
Paulaner Muchener Cerveja Alemã;R$ 25,99;1 X 500 mL
Beck's Cerveja German Lager Puro Malte;R$ 10,99;1 X 600 mL
Erdinger Cerveja Weissbier;R$ 19,99;1 X 500 mL
Cerveja Leffe Blonde, 330Ml, Long Neck;R$ 11,99;1 X 330 mL
Faxe Cerveja American Lager Royal Export;R$ 9,99;1 X 500 mL
Faxe Cerveja Witbier;R$ 18,99;1 X 500 mL
Fullers Cerveja India Pale Ale;R$ 45,29;1 X 500 mL
Erdinger Cerveja Weissbier;R$ 33,99;1 X 500 mL
La Trappe Cerveja Blond;R$ 149,99;1 X 750 mL
Corona Cerveja Pilsen Extra;R$ 5,49;1 X 350 mL
Spaten Cerveja Puro Malte;R$ 3,29;1 X 269 mL
Cerveja Lager Zero Álcool Heineken Lata;R$ 5,39;1 X 350 mL
Amstel Cerveja 350 mL;R$ 3,89;1 X 350.0 mL
Minalba Água Mineral Natural sem Gás;R$ 2,35;1 X 1.5 L
Minalba Água Mineral sem Gás;R$ 1,65;1 X 510.0 mL
Coco Água de Coco Esterilizada Kero 1L;R$ 11,20;1 X 1 L
São Lourenço Água Mineral com Gás;R$ 3,36;1 X 510.0 mL
Nestlé Água Mineral Natural Pureza Vital sem Gás;R$ 3,19;1 X 1.5 L
São Lourenço Água Mineral Natural com Gás;R$ 3,05;1 X 300 mL
Crystal Água Mineral Com Gás;R$ 1,99;1 X 500 mL
São Lourenço Água Mineral com Gás;R$ 5,19;1 X 1.26 L
Minalba Água Mineral Natural com Gás;R$ 3,55;1 X 1.5 L
Antarctica Água Tônica Zero Açúcar;R$ 2,99;1 X 350 mL
Combo Doritos Nacho + Kero Coco;R$ 40,86;
Combo Doritos Nacho + Kero Coco;R$ 45,06;
Combo Doritos Nacho + Kero Coco;R$ 31,17;
Combo Doritos Nacho + Kero Coco;R$ 40,86;
Combo Lays Classica + Kero Coco;R$ 31,57;
Combo Ruffles Original + Kero Coco;R$ 30,97;
Combo Ruffles Original + Kero Coco;R$ 40,56;
Acqua Panna Água Mineral Natural;R$ 19,79;1 X 505 mL
Combo Ruffles Cebola e Salsa + Kero Coco;R$ 40,56;
San Pellegrino Água Mineral com Gás;R$ 14,99;1 X 250 mL
Villa Piva Água de Coco Integral;R$ 12,99;1 X 300 mL
Combo Doritos Nacho + Ovinho Amendoim + Kero Coco;R$ 30,67;
São Lourenço Água Mineral Natural sem Gás;R$ 2,49;1 X 300 mL
Combo Doritos Nacho + Lays Classica + Kero Coco;R$ 43,16;
Indaiá Água Mineral;R$ 1,59;1 X 500.0 mL
Villa Piva Água de Coco Integral 100% Natural;R$ 23,49;1 X 1 L
